StoreSaleID,BranchID,ProductID,SaleDate,Quantity,Revenue
400001,B00147,PR0022,2026-08-24,6,1080.0
400002,B00104,PR0019,2026-10-16,10,250.0
400003,B00414,PR0021,2026-02-23,8,320.0
400004,B00333,PR0019,2026-02-04,1,25.0
400005,B00263,PR0020,2026-01-10,8,120.0
400006,B00241,PR0025,2026-09-26,6,1194.0
400007,B00312,PR0017,2026-05-03,2,40.0
400008,B00358,PR0027,2026-05-07,10,250.0
400009,B00141,PR0023,2026-12-04,7,525.0
400010,B00208,PR0013,2026-05-26,10,100.0
400011,B00425,PR0017,2026-01-07,3,60.0
400012,B00312,PR0018,2026-11-29,4,120.0
400013,B00092,PR0023,2026-08-06,1,75.0
400014,B00320,PR0021,2026-04-03,6,240.0
400015,B00167,PR0014,2026-07-19,5,125.0
400016,B00187,PR0022,2026-10-28,9,1620.0
400017,B00279,PR0022,2026-04-23,7,1260.0
400018,B00076,PR0027,2026-10-13,2,50.0
400019,B00183,PR0025,2026-08-28,9,1791.0
400020,B00338,PR0014,2026-02-26,8,200.0
400021,B00042,PR0026,2026-12-15,4,480.0
400022,B00337,PR0021,2026-09-02,5,200.0
400023,B00153,PR0014,2026-08-25,6,150.0
400024,B00029,PR0020,2026-02-25,7,105.0
400025,B00131,PR0018,2026-09-09,8,240.0
400026,B00219,PR0027,2026-03-04,2,50.0
400027,B00087,PR0026,2026-09-22,9,1080.0
400028,B00015,PR0025,2026-11-13,10,1990.0
400029,B00120,PR0017,2026-07-31,6,120.0
400030,B00413,PR0021,2026-01-20,7,280.0
400031,B00285,PR0025,2026-11-04,1,199.0
400032,B00191,PR0025,2026-03-15,6,1194.0
400033,B00336,PR0019,2026-07-22,6,150.0
400034,B00381,PR0022,2026-03-21,4,720.0
400035,B00323,PR0019,2026-05-11,1,25.0
400036,B00142,PR0023,2026-05-18,1,75.0
400037,B00072,PR0022,2026-01-15,1,180.0
400038,B00280,PR0017,2026-05-29,4,80.0
400039,B00094,PR0017,2026-11-08,9,180.0
400040,B00216,PR0014,2026-10-30,7,175.0
400041,B00334,PR0027,2026-02-20,8,200.0
400042,B00316,PR0026,2026-11-06,10,1200.0
400043,B00150,PR0027,2026-11-13,1,25.0
400044,B00428,PR0018,2026-08-22,8,240.0
400045,B00024,PR0023,2026-01-24,7,525.0
400046,B00325,PR0021,2026-09-10,5,200.0
400047,B00415,PR0020,2026-08-13,3,45.0
400048,B00286,PR0017,2026-10-07,5,100.0
400049,B00110,PR0018,2026-03-15,6,180.0
400050,B00432,PR0013,2026-05-25,3,30.0
400051,B00329,PR0013,2026-08-27,7,70.0
400052,B00265,PR0014,2026-08-06,3,75.0
400053,B00027,PR0014,2026-06-14,8,200.0
400054,B00264,PR0024,2026-08-21,7,665.0
400055,B00227,PR0022,2026-10-06,7,1260.0
400056,B00250,PR0023,2026-11-02,7,525.0
400057,B00078,PR0014,2026-03-22,10,250.0
400058,B00175,PR0014,2026-11-19,7,175.0
400059,B00150,PR0027,2026-11-02,2,50.0
400060,B00321,PR0021,2026-06-15,4,160.0
400061,B00270,PR0026,2026-06-04,8,960.0
400062,B00344,PR0023,2026-02-27,3,225.0
400063,B00350,PR0013,2026-03-16,3,30.0
400064,B00385,PR0027,2026-07-01,2,50.0
400065,B00022,PR0020,2026-10-24,8,120.0
400066,B00233,PR0017,2026-10-08,9,180.0
400067,B00002,PR0013,2026-05-12,6,60.0
400068,B00099,PR0022,2026-12-31,5,900.0
400069,B00425,PR0020,2026-10-18,8,120.0
400070,B00162,PR0020,2026-10-08,6,90.0
400071,B00018,PR0013,2026-07-19,10,100.0
400072,B00156,PR0024,2026-12-30,6,570.0
400073,B00342,PR0017,2026-05-31,7,140.0
400074,B00366,PR0017,2026-06-24,3,60.0
400075,B00124,PR0025,2026-08-02,1,199.0
400076,B00129,PR0024,2026-05-17,3,285.0
400077,B00426,PR0018,2026-10-30,9,270.0
400078,B00243,PR0026,2026-05-17,5,600.0
400079,B00416,PR0013,2026-03-21,9,90.0
400080,B00060,PR0017,2026-12-01,4,80.0
400081,B00422,PR0022,2026-02-22,3,540.0
400082,B00037,PR0017,2026-12-20,2,40.0
400083,B00330,PR0017,2026-07-02,4,80.0
400084,B00326,PR0025,2026-05-22,3,597.0
400085,B00219,PR0022,2026-06-09,6,1080.0
400086,B00325,PR0027,2026-12-11,1,25.0
400087,B00427,PR0027,2026-07-14,2,50.0
400088,B00348,PR0018,2026-09-04,8,240.0
400089,B00150,PR0023,2026-01-10,2,150.0
400090,B00024,PR0026,2026-12-25,8,960.0
400091,B00186,PR0013,2026-12-12,10,100.0
400092,B00125,PR0017,2026-08-14,10,200.0
400093,B00196,PR0023,2026-01-31,10,750.0
400094,B00117,PR0021,2026-01-10,1,40.0
400095,B00166,PR0021,2026-08-14,7,280.0
400096,B00334,PR0026,2026-03-05,5,600.0
400097,B00118,PR0022,2026-10-19,1,180.0
400098,B00255,PR0023,2026-10-31,7,525.0
400099,B00318,PR0013,2026-07-11,8,80.0
400100,B00088,PR0027,2026-09-18,3,75.0
400101,B00163,PR0014,2026-07-30,7,175.0
400102,B00001,PR0022,2026-03-08,1,180.0
400103,B00281,PR0026,2026-08-19,5,600.0
400104,B00175,PR0025,2026-03-04,9,1791.0
400105,B00352,PR0022,2026-07-06,4,720.0
400106,B00104,PR0019,2026-05-05,2,50.0
400107,B00271,PR0014,2026-03-05,7,175.0
400108,B00187,PR0014,2026-05-05,1,25.0
400109,B00311,PR0022,2026-02-14,1,180.0
400110,B00381,PR0019,2026-09-12,10,250.0
400111,B00280,PR0020,2026-05-12,2,30.0
400112,B00325,PR0017,2026-12-16,6,120.0
400113,B00143,PR0020,2026-08-27,2,30.0
400114,B00044,PR0018,2026-06-08,5,150.0
400115,B00041,PR0025,2026-07-09,10,1990.0
400116,B00315,PR0013,2026-10-05,3,30.0
400117,B00272,PR0014,2026-09-17,2,50.0
400118,B00089,PR0022,2026-10-12,7,1260.0
400119,B00359,PR0014,2026-04-22,7,175.0
400120,B00328,PR0014,2026-03-25,9,225.0
400121,B00278,PR0019,2026-08-27,7,175.0
400122,B00120,PR0014,2026-01-19,4,100.0
400123,B00250,PR0022,2026-03-11,2,360.0
400124,B00016,PR0018,2026-09-09,10,300.0
400125,B00108,PR0024,2026-10-31,8,760.0
400126,B00351,PR0023,2026-07-30,2,150.0
400127,B00227,PR0023,2026-10-19,7,525.0
400128,B00273,PR0025,2026-10-15,2,398.0
400129,B00140,PR0017,2026-04-29,2,40.0
400130,B00191,PR0014,2026-04-04,9,225.0
400131,B00082,PR0013,2026-03-12,6,60.0
400132,B00296,PR0019,2026-04-24,1,25.0
400133,B00227,PR0025,2026-06-30,2,398.0
400134,B00030,PR0019,2026-10-20,4,100.0
400135,B00031,PR0018,2026-05-21,3,90.0
400136,B00130,PR0025,2026-09-17,2,398.0
400137,B00165,PR0025,2026-06-19,10,1990.0
400138,B00347,PR0022,2026-04-14,8,1440.0
400139,B00264,PR0017,2026-06-29,9,180.0
400140,B00130,PR0022,2026-01-14,4,720.0
400141,B00263,PR0019,2026-08-11,7,175.0
400142,B00106,PR0021,2026-07-17,1,40.0
400143,B00424,PR0023,2026-12-22,10,750.0
400144,B00221,PR0017,2026-04-12,3,60.0
400145,B00137,PR0017,2026-09-16,7,140.0
400146,B00163,PR0021,2026-01-28,7,280.0
400147,B00408,PR0025,2026-09-06,3,597.0
400148,B00238,PR0026,2026-08-20,4,480.0
400149,B00033,PR0018,2026-04-18,8,240.0
400150,B00244,PR0013,2026-10-04,7,70.0
