BranchID,BranchName,ProvinceID,ProvinceName,OpenDate,Latitude,Longitude
B00420,Best Energy สาขาลาดกระบัง 2,P001,กรุงเทพมหานคร,2026-01-10,13.7289,100.7756
B00421,Best Energy สาขาบางนา 2,P001,กรุงเทพมหานคร,2026-02-01,13.6614,100.6077
B00422,Best Energy สาขา EV Hub พระราม 4,P001,กรุงเทพมหานคร,2026-02-20,13.7234,100.5348
B00423,Best Energy สาขา EV Hub ปากเกร็ด,P002,นนทบุรี,2026-03-10,13.9212,100.4912
B00424,Best Energy สาขารังสิต 2,P003,ปทุมธานี,2026-03-25,14.0212,100.6189
B00425,Best Energy สาขา EV Hub สันกำแพง,P007,เชียงใหม่,2026-04-10,18.7456,99.1234
B00426,Best Energy สาขาแม่จัน 2,P008,เชียงราย,2026-04-25,20.1234,99.8456
B00427,Best Energy สาขา EV Hub พัทยา,P035,ชลบุรี,2026-05-10,12.9274,100.8769
B00428,Best Energy สาขาบ้านค่าย 2,P036,ระยอง,2026-05-25,12.9832,101.3456
B00429,Best Energy สาขาสีคิ้ว 2,P043,นครราชสีมา,2026-06-10,14.8912,101.7212
B00430,Best Energy สาขานางรอง 2,P044,บุรีรัมย์,2026-07-01,14.6523,102.7912
B00431,Best Energy สาขาพนมไพร,P050,ร้อยเอ็ด,2026-07-20,15.7123,103.9823
B00432,Best Energy สาขา EV Hub พิษณุโลก,P018,พิษณุโลก,2026-08-05,16.8012,100.2612
B00433,Best Energy สาขา EV Hub นครสวรรค์,P021,นครสวรรค์,2026-08-20,15.7012,100.1312
B00434,Best Energy สาขาปากพนัง,P065,นครศรีธรรมราช,2026-09-10,8.3518,100.1967
B00435,Best Energy สาขาเกาะลันตา 2,P070,กระบี่,2026-10-01,7.5312,99.0423
B00436,Best Energy สาขา EV Hub ฉลอง,P071,ภูเก็ต,2026-10-20,7.8234,98.3512
B00437,Best Energy สาขาหัวหิน 2,P034,ประจวบฯ,2026-11-05,12.5712,99.9512
B00438,Best Energy สาขา EV Hub อยุธยา,P026,พระนครศรีอยุธยา,2026-11-20,14.3512,100.5812
B00439,Best Energy สาขาเชียงคาน 2,P057,เลย,2026-12-10,17.8912,101.6612
