CafeSaleID,BranchID,ProductID,SaleDate,Quantity,Revenue
400001,B00272,PR0010,2026-10-23,1,66.16
400002,B00320,PR0015,2026-03-14,1,15.99
400003,B00423,PR0015,2026-05-04,2,31.6
400004,B00061,PR0003,2026-03-08,3,168.8
400005,B00087,PR0008,2026-07-10,2,113.18
400006,B00036,PR0016,2026-02-26,4,149.35
400007,B00421,PR0015,2026-01-18,5,76.06
400008,B00003,PR0006,2026-07-10,5,176.7
400009,B00377,PR0008,2026-05-31,4,231.24
400010,B00143,PR0009,2026-06-25,2,91.14
400011,B00208,PR0011,2026-12-03,3,185.86
400012,B00339,PR0003,2026-04-28,5,292.25
400013,B00006,PR0010,2026-12-08,1,69.09
400014,B00223,PR0005,2026-10-11,6,386.79
400015,B00230,PR0010,2026-07-04,1,67.6
400016,B00162,PR0016,2026-12-01,3,107.99
400017,B00212,PR0011,2026-10-29,6,365.68
400018,B00261,PR0010,2026-05-01,2,133.0
400019,B00426,PR0016,2026-12-09,3,108.39
400020,B00180,PR0006,2026-09-26,5,183.24
400021,B00209,PR0010,2026-05-28,6,402.75
400022,B00333,PR0003,2026-05-15,5,296.86
400023,B00436,PR0011,2026-01-22,2,120.64
400024,B00410,PR0005,2026-04-17,5,303.52
400025,B00213,PR0004,2026-04-07,2,83.39
400026,B00130,PR0010,2026-03-29,1,69.69
400027,B00013,PR0010,2026-03-17,4,262.68
400028,B00030,PR0009,2026-03-21,2,91.33
400029,B00314,PR0007,2026-08-30,5,289.38
400030,B00232,PR0015,2026-07-16,5,77.04
400031,B00372,PR0009,2026-01-23,2,91.51
400032,B00317,PR0007,2026-06-25,4,227.35
400033,B00174,PR0009,2026-12-11,4,191.76
400034,B00179,PR0005,2026-04-08,3,194.03
400035,B00035,PR0005,2026-03-25,1,64.69
400036,B00220,PR0015,2026-01-26,3,47.02
400037,B00080,PR0016,2026-08-31,6,217.0
400038,B00273,PR0004,2026-03-26,5,201.25
400039,B00282,PR0004,2026-02-03,2,83.48
400040,B00069,PR0015,2026-11-29,6,96.28
400041,B00222,PR0008,2026-07-20,1,56.69
400042,B00241,PR0012,2026-07-20,1,72.21
400043,B00052,PR0010,2026-02-06,5,345.56
400044,B00082,PR0015,2026-06-19,3,45.1
400045,B00221,PR0002,2026-03-23,5,293.58
400046,B00408,PR0008,2026-02-12,3,173.05
400047,B00187,PR0004,2026-05-26,2,81.19
400048,B00424,PR0011,2026-07-05,1,60.3
400049,B00114,PR0003,2026-03-09,1,56.8
