ProfitLossID,BranchID,YearMonth,Revenue,COGS,OperatingExpense,NetProfit
30739,B00001,2028-01-01,5925999.44,3744838.94,485772.28,1695388.22
30740,B00001,2028-02-01,8492932.65,4887193.2,1216372.55,2389366.9
30741,B00001,2028-03-01,1574688.7,891984.87,211514.91,471188.92
30742,B00001,2028-04-01,3425555.97,2222327.88,302136.51,901091.58
30743,B00001,2028-05-01,7958372.53,4676264.46,1120865.88,2161242.19
30744,B00001,2028-06-01,7512634.78,4242951.01,630779.87,2638903.9
30745,B00001,2028-07-01,6769589.95,4475202.68,896092.51,1398294.76
30746,B00001,2028-08-01,4307879.06,2782949.41,575479.85,949449.8
30747,B00001,2028-09-01,8542889.47,4794536.57,904772.15,2843580.75
30748,B00001,2028-10-01,6499245.54,4332730.67,642643.88,1523870.99
30749,B00001,2028-11-01,1251574.53,812775.12,128399.37,310400.04
30750,B00001,2028-12-01,5053129.1,2779936.09,619341.71,1653851.3
30751,B00002,2028-01-01,3441312.33,2032870.65,478147.85,930293.83
30752,B00002,2028-02-01,3514246.24,2027554.61,364838.07,1121853.56
30753,B00002,2028-03-01,1390706.75,752673.92,134600.74,503432.09
30754,B00002,2028-04-01,8408181.02,4731150.67,1186512.65,2490517.7
30755,B00002,2028-05-01,8270339.19,5150835.48,1136159.38,1983344.33
30756,B00002,2028-06-01,7449860.22,4521388.19,932299.7,1996172.33
30757,B00002,2028-07-01,6221101.54,4169211.67,931719.11,1120170.76
30758,B00002,2028-08-01,1777214.1,1135406.94,167832.51,473974.65
30759,B00002,2028-09-01,3345616.94,1915601.37,322252.02,1107763.55
30760,B00002,2028-10-01,7761480.99,4299851.88,780570.3,2681058.81
30761,B00002,2028-11-01,1728590.84,1118059.99,178481.58,432049.27
30762,B00002,2028-12-01,1357008.44,906987.45,148519.93,301501.06
30763,B00003,2028-01-01,3516825.27,2290245.14,363475.51,863104.62
30764,B00003,2028-02-01,2576554.6,1466152.85,267720.92,842680.83
30765,B00003,2028-03-01,4053376.79,2339471.59,340870.24,1373034.96
30766,B00003,2028-04-01,3796440.22,2085774.61,305166.1,1405499.51
30767,B00003,2028-05-01,2002846.09,1274887.26,217643.6,510315.23
30768,B00003,2028-06-01,1837450.78,1156393.36,249802.73,431254.69
30769,B00003,2028-07-01,6860020.24,4256510.07,923899.85,1679610.32
30770,B00003,2028-08-01,3711619.66,2338217.32,440432.54,932969.8
30771,B00003,2028-09-01,6357194.22,3753218.32,694973.72,1909002.18
30772,B00003,2028-10-01,6689654.44,3942009.31,816772.45,1930872.68
30773,B00003,2028-11-01,6538520.61,3749468.77,827204.91,1961846.93
30774,B00003,2028-12-01,6937582.38,3870292.86,557732.01,2509557.51
30775,B00004,2028-01-01,4257407.64,2725327.28,487945.78,1044134.58
30776,B00004,2028-02-01,4504447.71,2969154.94,622553.64,912739.13
30777,B00004,2028-03-01,6976211.02,4392746.59,629668.45,1953795.98
30778,B00004,2028-04-01,5745714.71,3834712.4,690210.11,1220792.2
30779,B00004,2028-05-01,6595273.7,4130573.43,937265.03,1527435.24
30780,B00004,2028-06-01,6208113.08,3471496.93,756703.85,1979912.3
30781,B00004,2028-07-01,2564254.8,1677995.61,255280.87,630978.32
30782,B00004,2028-08-01,2068572.28,1159271.27,219800.4,689500.61
30783,B00004,2028-09-01,4464507.04,2840310.18,374755.37,1249441.49
30784,B00004,2028-10-01,4532325.29,2816332.69,399408.4,1316584.2
30785,B00004,2028-11-01,2095252.48,1331968.54,220373.7,542910.24
30786,B00004,2028-12-01,2755605.4,1614995.4,237598.23,903011.77
30787,B00005,2028-01-01,1561026.82,853016.2,142114.36,565896.26
30788,B00005,2028-02-01,5261936.79,3469990.41,460409.93,1331536.45
30789,B00005,2028-03-01,1097222.96,654245.73,142406.45,300570.78
30790,B00005,2028-04-01,4834265.32,2919203.16,399240.85,1515821.31
30791,B00005,2028-05-01,2104126.65,1272120.5,231972.95,600033.2
30792,B00005,2028-06-01,5322349.48,3471013.36,515803.73,1335532.39
30793,B00005,2028-07-01,6613840.39,3798759.17,595035.12,2220046.1
30794,B00005,2028-08-01,4016902.14,2510923.89,470839.0,1035139.25
30795,B00005,2028-09-01,2699847.47,1569405.78,252573.87,877867.82
30796,B00005,2028-10-01,2505538.99,1526334.85,266711.21,712492.93
30797,B00005,2028-11-01,4037302.16,2569502.09,571863.98,895936.09
30798,B00005,2028-12-01,5154386.73,2839890.42,707226.81,1607269.5
30799,B00006,2028-01-01,8755075.45,4948750.67,1203961.49,2602363.29
30800,B00006,2028-02-01,7319934.36,4317383.97,618613.05,2383937.34
30801,B00006,2028-03-01,7846109.36,4700696.67,1133705.19,2011707.5
30802,B00006,2028-04-01,6542242.59,4076678.54,696442.92,1769121.13
