ProfitLossID,BranchID,YearMonth,Revenue,COGS,OperatingExpense,NetProfit
20395,B00001,2026-01-01,7071795.35,4236738.92,912664.02,1922392.41
20396,B00001,2026-02-01,5665320.09,3603805.41,545346.74,1516167.94
20397,B00001,2026-03-01,2301545.25,1373697.01,286687.38,641160.86
20398,B00001,2026-04-01,8765417.91,4992707.49,715794.45,3056915.97
20399,B00001,2026-05-01,3004180.87,1739787.04,436388.38,828005.45
20400,B00001,2026-06-01,8033247.93,4848253.19,799735.33,2385259.41
20401,B00001,2026-07-01,7422836.51,4530713.52,727433.54,2164689.45
20402,B00001,2026-08-01,6372715.37,4221751.31,768686.55,1382277.51
20403,B00001,2026-09-01,4190181.83,2467582.07,520373.0,1202226.76
20404,B00001,2026-10-01,2854365.45,1754022.7,255441.5,844901.25
20405,B00001,2026-11-01,8865051.62,4900497.66,1057596.7,2906957.26
20406,B00001,2026-12-01,1230356.9,747647.91,116797.56,365911.43
20407,B00002,2026-01-01,3048952.89,1690753.95,348637.08,1009561.86
20408,B00002,2026-02-01,1127684.71,714549.68,133365.29,279769.74
20409,B00002,2026-03-01,4597739.6,3066291.42,618051.82,913396.36
20410,B00002,2026-04-01,8748532.16,5827454.37,889324.44,2031753.35
20411,B00002,2026-05-01,7079511.86,4064905.1,719061.36,2295545.4
20412,B00002,2026-06-01,2213307.29,1477990.82,186524.1,548792.37
20413,B00002,2026-07-01,3459584.16,2025695.76,517401.89,916486.51
20414,B00002,2026-08-01,5758695.43,3789942.08,498717.35,1470036.0
20415,B00002,2026-09-01,5328218.68,3446074.51,428730.37,1453413.8
20416,B00002,2026-10-01,4535684.61,2480187.75,670500.69,1384996.17
20417,B00002,2026-11-01,4336079.37,2706970.33,430934.79,1198174.25
20418,B00002,2026-12-01,7566394.13,5094424.19,665993.4,1805976.54
20419,B00003,2026-01-01,7247836.35,4877556.92,667478.02,1702801.41
20420,B00003,2026-02-01,2972602.45,1975807.28,437705.94,559089.23
20421,B00003,2026-03-01,6056350.35,3495660.48,774287.28,1786402.59
20422,B00003,2026-04-01,3519489.74,2190259.91,476875.56,852354.27
20423,B00003,2026-05-01,9230719.35,5304599.13,871899.71,3054220.51
20424,B00003,2026-06-01,8179833.44,5158590.81,1175284.84,1845957.79
20425,B00003,2026-07-01,8642456.6,5614756.75,840514.08,2187185.77
20426,B00003,2026-08-01,1424194.69,924460.25,166659.32,333075.12
20427,B00003,2026-09-01,7797881.45,5134412.17,741396.28,1922073.0
20428,B00003,2026-10-01,6855451.16,4447864.49,977307.15,1430279.52
20429,B00003,2026-11-01,5891804.35,3641657.02,567075.77,1683071.56
20430,B00003,2026-12-01,2473467.87,1572683.49,226033.89,674750.49
20431,B00004,2026-01-01,8521668.18,5749768.51,911893.3,1860006.37
20432,B00004,2026-02-01,9119502.58,5838475.11,1155321.71,2125705.76
20433,B00004,2026-03-01,6151657.17,4080077.65,556738.69,1514840.83
20434,B00004,2026-04-01,6878982.71,4555968.85,1013589.67,1309424.19
20435,B00004,2026-05-01,5018808.96,2858725.62,569717.48,1590365.86
20436,B00004,2026-06-01,9240797.66,5666223.65,1195248.36,2379325.65
20437,B00004,2026-07-01,3024497.86,1954064.56,342821.75,727611.55
20438,B00004,2026-08-01,6390989.63,4197151.75,759956.97,1433880.91
20439,B00004,2026-09-01,4852585.61,2911671.05,554666.87,1386247.69
20440,B00004,2026-10-01,2973470.56,1667874.87,435560.57,870035.12
20441,B00004,2026-11-01,6578817.46,4336649.04,897972.61,1344195.81
20442,B00004,2026-12-01,3114293.96,1879551.26,449267.57,785475.13
20443,B00005,2026-01-01,7119039.93,4237101.34,853144.9,2028793.69
20444,B00005,2026-02-01,1590028.52,1053287.6,145198.26,391542.66
20445,B00005,2026-03-01,5355596.12,3100268.26,664511.81,1590816.05
20446,B00005,2026-04-01,8233036.81,4823991.14,955619.61,2453426.06
20447,B00005,2026-05-01,5429894.32,3649684.81,666748.43,1113461.08
20448,B00005,2026-06-01,2963743.46,1642425.48,444278.18,877039.8
20449,B00005,2026-07-01,6233282.73,3535197.36,802592.89,1895492.48
20450,B00005,2026-08-01,6401573.89,3698473.15,581305.53,2121795.21
20451,B00005,2026-09-01,5296424.93,3052796.69,555224.54,1688403.7
20452,B00005,2026-10-01,3802239.95,2076170.5,404805.45,1321264.0
20453,B00005,2026-11-01,7365714.31,4590402.14,614927.66,2160384.51
20454,B00005,2026-12-01,3604862.38,2183193.59,389959.84,1031708.95
20455,B00006,2026-01-01,4656372.77,2955881.56,461403.35,1239087.86
20456,B00006,2026-02-01,3370859.27,2176925.3,365123.27,828810.7
20457,B00006,2026-03-01,6643930.62,3750131.41,954469.7,1939329.51
20458,B00006,2026-04-01,7557150.66,4559880.95,790518.75,2206750.96
20459,B00006,2026-05-01,7159267.95,4493841.72,1047706.74,1617719.49
20460,B00006,2026-06-01,4431738.99,2464170.82,378580.93,1588987.24
20461,B00006,2026-07-01,5866767.49,3744117.74,563583.6,1559066.15
20462,B00006,2026-08-01,8110586.69,5139495.08,962080.22,2009011.39
20463,B00006,2026-09-01,5533460.37,3157684.9,719384.12,1656391.35
20464,B00006,2026-10-01,7439340.47,4570306.31,870659.79,1998374.37
20465,B00006,2026-11-01,5276552.98,3327050.22,449194.22,1500308.54
20466,B00006,2026-12-01,5710112.31,3819868.82,727297.87,1162945.62
20467,B00007,2026-01-01,7611591.82,4344369.09,631326.17,2635896.56
20468,B00007,2026-02-01,6922152.66,4218172.19,777293.12,1926687.35
20469,B00007,2026-03-01,8289995.39,5423723.38,1020036.38,1846235.63
20470,B00007,2026-04-01,3723531.78,2065944.56,355064.03,1302523.19
20471,B00007,2026-05-01,6723095.18,3655397.4,611950.25,2455747.53
20472,B00007,2026-06-01,2602827.52,1633682.22,358710.04,610435.26
20473,B00007,2026-07-01,7277306.41,4880783.44,873053.03,1523469.94
20474,B00007,2026-08-01,1603607.43,1020669.28,190185.61,392752.54
20475,B00007,2026-09-01,1634728.92,1076058.4,143845.17,414825.35
20476,B00007,2026-10-01,2646330.3,1715140.62,247964.46,683225.22
20477,B00007,2026-11-01,1378003.32,873492.81,205599.82,298910.69
20478,B00007,2026-12-01,2607948.53,1669557.41,251584.68,686806.44
20479,B00008,2026-01-01,2740090.52,1666678.44,352526.32,720885.76
